Designator,Mid X,Mid Y,Rotation,Layer
J1,120.9516,-53.3666,0.0,top
J2,101.727,-64.2928,180.0,bottom
J3,168.5778,-66.8767,90.0,top
J4,154.305,-66.68,180.0,top
J5,140.1164,-64.5476,270.0,top
J6,127.3456,-64.4714,270.0,bottom
J7,157.4038,-53.467,90.0,top
J9,114.1142,-61.3598,0.0,bottom
R1,132.461,-57.3024,0.0,bottom
