Designator,Mid X,Mid Y,Rotation,Layer
J1,97.157,-59.1053,270.0,top
J2,140.1308,-68.7095,90.0,top
J3,130.5968,-85.9994,90.0,top
U1,106.2736,-81.0768,0.0,top
